X,Y,stntype,name,address1,address2,city,state,zipcode,Full_Address,Latitude,Longitude,code,stationnam
-8478455.55,4794767.297,TRAIN,,18 East Bel Air Avenue,,Aberdeen,MD,21001, 18 East Bel Air Avenue  Aberdeen MD 21001 ,39.5084117,-76.163203,ABE,"Aberdeen, MD"
-11871999.39,4175039.273,TRAIN,,320 1st Street SW,,Albuquerque,NM,87102, 320 1st Street SW  Albuquerque NM 87102 ,35.0819655,-106.6476898,ABQ,"Albuquerque, NM"
-13560499.23,4581927.239,TRAIN,,100 I Street,,Antioch,CA,94509, 100 I Street  Antioch CA 94509 ,38.0178083,-121.8161829,ACA,"Antioch-Pittsburg, CA"
-10088263.09,4521971.944,TRAIN,,13700 Highway 21,,Arcadia,MO,63621, 13700 Highway 21  Arcadia MO 63621 ,37.5922944,-90.6243485,ACD,"Arcadia, MO"
-10811963.17,4051984.243,TRAIN,,251 East Main Street,,Ardmore,OK,73401, 251 East Main Street  Ardmore OK 73401 ,34.1728417,-97.1252961,ADM,"Ardmore, OK"
-9199398.968,4647582.889,TRAIN,,99 15th Street,,Ashland,KY,41101, 99 15th Street  Ashland KY 41101 ,38.4810273,-82.6399459,AKY,"Ashland, KY"
-8208827.1,5257492.746,TRAIN,,525 East Street,,Rensselaer,NY,12144, 525 East Street  Rensselaer NY 12144 ,42.6413525,-73.7411492,ALB,"Albany-Rensselaer, NY"
-9027221.191,5000737.85,TRAIN,,820 East Main Street,,Alliance,OH,44601, 820 East Main Street  Alliance OH 44601 ,40.9218213,-81.0958519,ALC,"Alliance, OH"
-8977344.676,4540549.332,TRAIN,,1 C&O Plaza on Railroad Avenue,,Alderson,WV,24910, 1 C&O Plaza on Railroad Avenue  Alderson WV 24910 ,37.7243179,-80.6448262,ALD,"Alderson, WV"
-9434974.605,5198081.645,TRAIN,,300 North Eaton Street,,Albion,MI,49224, 300 North Eaton Street  Albion MI 49224 ,42.2472581,-84.7556711,ALI,"Albion, MI"
-10036265.2,4710363.841,TRAIN,,1 Golf Road,,Alton,IL,62002, 1 Golf Road  Alton IL 62002 ,38.9211325,-90.1573249,ALN,"Alton, IL"
-11539547.85,3549561.508,TRAIN,,102 West Holland Avenue,,Alpine,TX,79830, 102 West Holland Avenue  Alpine TX 79830 ,30.3581727,-103.6618239,ALP,"Alpine, TX"
-8727628.73,4940989.648,TRAIN,,1231 11th Avenue,,Altoona,PA,16601, 1231 11th Avenue  Altoona PA 16601 ,40.5147748,-78.4015526,ALT,"Altoona, PA"
-8578539.591,4693993.675,TRAIN,,110 Callahan Drive,,Alexandria,VA,22301, 110 Callahan Drive  Alexandria VA 22301 ,38.806422,-77.0622106,ALX,"Alexandria, VA"
-13703739.72,5563532.849,TRAIN,,110 10th Avenue SW,,Albany,OR,97321, 110 10th Avenue SW  Albany OR 97321 ,44.6301042,-123.1029538,ALY,"Albany, OR"
-8262077.132,5304931.377,TRAIN,,466 West Main Street,,Amsterdam,NY,12010, 466 West Main Street  Amsterdam NY 12010 ,42.9536796,-74.219526,AMS,"Amsterdam, NY"
-13122043.25,4002488.538,TRAIN,,2626 East Katella Avenue,,Anaheim,CA,92806, 2626 East Katella Avenue  Anaheim CA 92806 ,33.8033899,-117.8774766,ANA,"Anaheim, CA"
-9322245.775,5204173.429,TRAIN,,325 Depot Street,,Ann Arbor,MI,48104, 325 Depot Street  Ann Arbor MI 48104 ,42.2876789,-83.7427503,ARB,"Ann Arbor, MI"
-8381289.08,4867146.462,TRAIN,,39 Station Avenue,,Ardmore,PA,19003, 39 Station Avenue  Ardmore PA 19003 ,40.0082965,-75.290293,ARD,"Ardmore, PA"
-10358644.93,4044109.669,TRAIN,,798 South 5th Street,,Arkadelphia,AR,71923, 798 South 5th Street  Arkadelphia AR 71923 ,34.1141599,-93.0529837,ARK,"Arkadelphia, AR"
-13478920.18,4707878.662,TRAIN,,277 Nevada Street,,Auburn,CA,95603, 277 Nevada Street  Auburn CA 95603 ,38.9039915,-121.0834116,ARN,"Auburn, CA"
-8625179.571,4545521.296,TRAIN,,112 North Railroad Avenue,,Ashland,VA,23005, 112 North Railroad Avenue  Ashland VA 23005 ,37.7595903,-77.4811988,ASD,"Ashland, VA"
-8889497.587,5359800.126,TRAIN,,1199 Waterdown Road,,Aldershot,ON,L7T 4A8, 1199 Waterdown Road  Aldershot ON L7T 4A8 ,43.3133211,-79.8556262,AST,"Aldershot, ON"
-9394528.035,4001904.939,TRAIN,,"1688 Peachtree Street, NW",,Atlanta,GA,30309," 1688 Peachtree Street, NW  Atlanta GA 30309 ",33.7993486,-84.3934345,ATL,"Atlanta, GA"
-9554791.189,3981783.943,TRAIN,,126 West 4th Street,,Anniston,AL,36201, 126 West 4th Street  Anniston AL 36201 ,33.6490466,-85.832026,ATN,"Anniston, AL"
-10882253.63,3538232.906,TRAIN,,250 North Lamar Boulevard,,Austin,TX,78703, 250 North Lamar Boulevard  Austin TX 78703 ,30.2695528,-97.7570133,AUS,"Austin, TX"
-8528819.619,4765787.162,TRAIN,Penn Station,1500 North Charles Street,,Baltimore,MD,21201,Penn Station 1500 North Charles Street  Baltimore MD 21201 ,39.3073772,-76.6158071,BAL,"Baltimore, MD"
-9585905.179,5208211.127,TRAIN,,541 Railroad Street,,Bangor,MI,49013, 541 Railroad Street  Bangor MI 49013 ,42.3141748,-86.1118692,BAM,"Bangor, MI"
-13027213.18,4150954.755,TRAIN,Harvey House Rail Depot,685 North First Avenue,,Barstow,CA,92311,Harvey House Rail Depot 685 North First Avenue  Barstow CA 92311 ,34.9046571,-117.0247532,BAR,"Barstow, CA"
-7912125.047,5213149.974,TRAIN,Back Bay Station,145 Dartmouth Street,,Boston,MA,2116,Back Bay Station 145 Dartmouth Street  Boston MA 2116 ,42.34735,-71.075727,BBY,"Boston, MA"
-8604862.206,4692674.953,TRAIN,,10399 Premier Court,Virginia Railway Express Station,Burke,VA,22015, 10399 Premier Court Virginia Railway Express Station Burke VA 22015 ,38.7974014,-77.2988039,BCV,"Burke Centre, VA"
-13637892.22,6227529.442,TRAIN,,401 Harris Avenue,,Bellingham,WA,98225, 401 Harris Avenue  Bellingham WA 98225 ,48.7204609,-122.5110495,BEL,"Bellingham, WA"
-12278196.37,3759210.983,TRAIN,,105 East 4th Street,,Benson,AZ,85602, 105 East 4th Street  Benson AZ 85602 ,31.9688036,-110.2970562,BEN,"Benson, AZ"
-8100193.372,5106549.943,TRAIN,,51 Depot Road,,Berlin,CT,6037, 51 Depot Road  Berlin CT 6037 ,41.6355454,-72.765452,BER,"Berlin, CT"
-13247934.72,4214569.866,TRAIN,,601 Truxtun Avenue,,Bakersfield,CA,93301, 601 Truxtun Avenue  Bakersfield CA 93301 ,35.3721912,-119.0076905,BFD,"Bakersfield, CA"
-8780185.816,5293490.095,TRAIN,Exchange Street Station,75 Exchange Street,,Buffalo,NY,14203,Exchange Street Station 75 Exchange Street  Buffalo NY 14203 ,42.8783519,-78.8737893,BFX,"Buffalo, NY"
-9663314.141,3963588.21,TRAIN,,Intermodal Facility,1801 Morris Avenue,Birmingham,AL,35203, Intermodal Facility 1801 Morris Avenue Birmingham AL 35203 ,33.5126319,-86.8072363,BHM,"Birmingham, AL"
-13614453.9,4560690.89,TRAIN,,700 University Avenue,,Berkeley,CA,94710, 700 University Avenue  Berkeley CA 94710 ,37.8670348,-122.3005735,BKY,"Berkeley, CA"
-8064495.771,5332779.112,TRAIN,,54 Depot Street,,Bellows Falls,VT,5101, 54 Depot Street  Bellows Falls VT 5101 ,43.1364163,-72.4447231,BLF,"Bellows Falls, VT"
-10478211.31,3513382.28,TRAIN,,2555 West Cedar Street,,Beaumont,TX,77704, 2555 West Cedar Street  Beaumont TX 77704 ,30.0763458,-94.1275991,BMT,"Beaumont, TX"
-8842611.862,4313595.325,TRAIN,,101 North Main Street,,Burlington,NC,27217, 101 North Main Street  Burlington NC 27217 ,36.09419,-79.4346541,BNC,"Burlington, NC"
-13521838.77,5734798.888,TRAIN,,Highway 14 and Walnut Street,,Bingen,WA,98605, Highway 14 and Walnut Street  Bingen WA 98605 ,45.7160159,-121.4696811,BNG,"Bingen-White Salmon, WA"
-9905688.302,4940189.386,TRAIN,,11 Uptown Circle,,Normal,IL,61761, 11 Uptown Circle  Normal IL 61761 ,40.5084804,-88.9849829,BNL,"Bloomington-Normal, IL"
-7910487.982,5215999.833,TRAIN,North Station,135 Causeway Street,,Boston,MA,2114,North Station 135 Causeway Street  Boston MA 2114 ,42.3664424,-71.061974,BON,"Boston, MA"
-7909840.325,5213902.201,TRAIN,South Station,2 South Station,,Boston,MA,2110,South Station 2 South Station  Boston MA 2110 ,42.3519448,-71.0551625,BOS,"Boston, MA"
-8076952.424,5289298.352,TRAIN,,10 Vernon Road,,Brattleboro,VT,5301, 10 Vernon Road  Brattleboro VT 5301 ,42.8508077,-72.5565753,BRA,"Brattleboro, VT"
-10067854.5,3708692.164,TRAIN,,440 North Railroad Avenue,,Brookhaven,MS,39601, 440 North Railroad Avenue  Brookhaven MS 39601 ,31.583077,-90.4408892,BRH,"Brookhaven, MS"
-7788528.433,5451740.887,TRAIN,,16 Station Avenue,,Brunswick,ME,4011, 16 Station Avenue  Brunswick ME 4011 ,43.9113316,-69.9653355,BRK,"Brunswick, ME"
-10141423.54,4983738.604,TRAIN,,300 South Main Street,,Burlington,IA,52601, 300 South Main Street  Burlington IA 52601 ,40.8057135,-91.1017708,BRL,"Burlington, IA"
-12580567.91,6196170.077,TRAIN,,Heart Butte Road and Depot Road,,Browning,MT,59417, Heart Butte Road and Depot Road  Browning MT 59417 ,48.535493,-113.0123595,BRO,"Browning, MT"
-8147199.709,5038634.308,TRAIN,,525 Water Street,,Bridgeport,CT,6604, 525 Water Street  Bridgeport CT 6604 ,41.1778574,-73.1873474,BRP,"Bridgeport, CT"
